trip_id,arrival_time,departure_time,stop_id,stop_sequence
TI_23621,19:45:00,19:45:00,BARI_TI,1
TI_23621,19:58:00,19:58:00,MOD_TI,2
TI_19899,20:50:00,20:50:00,BARI_TI,1
TI_19899,21:02:00,21:02:00,MOD_TI,2
TI_19849,21:10:00,21:10:00,BARI_TI,1
TI_19849,21:22:00,21:22:00,MOD_TI,2
TI_19885,21:28:00,21:28:00,BARI_TI,1
TI_19885,21:40:00,21:40:00,MOD_TI,2
TI_19851,22:45:00,22:45:00,BARI_TI,1
TI_19851,22:57:00,22:57:00,MOD_TI,2
TI_19863,23:37:00,23:37:00,BARI_TI,1
TI_19863,23:49:00,23:49:00,MOD_TI,2
